maker	keyword	brand	series	collaboration	priority
minisforum	ms-01	MINISFORUM	MS-01		100
minisforum	ms-02	MINISFORUM	MS-02		100
minisforum	ms-01 pro	MINISFORUM	MS-01 Pro		100
ozgaming	ozgaming	OZgaming			100
ozgaming	oz gaming	OZgaming			100
ozgaming	gaming pc	OZgaming			90
ozgaming	ゲーミングpc	OZgaming			90
ozgaming	ozgaming gaming	OZgaming	OZgaming Gaming		100
ozgaming	oz gaming gaming	OZgaming	OZgaming Gaming		100
storm	storm	STORM			100
storm	storm pc	STORM			100
storm	storm gaming	STORM	STORM Gaming		100
storm	storm gaming pc	STORM	STORM Gaming		100
storm	storm workstation	STORM	STORM Workstation		100
storm	storm desktop	STORM	STORM Desktop		100
storm	gkg-	STORM	GKG		100
storm	gkp-	STORM	GKP		100
storm	k2-	STORM	K2		100
storm	lynx-ek	STORM	LYNX-EK		100
storm	rk2-	STORM	RK2		100
storm	rk-	STORM	RK		100
storm	s2p-	STORM	S2P		100
storm	s2-	STORM	S2		100
sycom	aqua-master	SYCOM	Aqua-Master		200
sycom	radiant	SYCOM	Radiant		200
sycom	g-master	SYCOM	G-Master		200
sycom	lepton	SYCOM	Lepton		200
sycom	silent-master	SYCOM	Silent Master		200
sycom	silent master	SYCOM	Silent Master		200
lenovo	thinkpad	Lenovo	ThinkPad		100
lenovo	thinkpad x	Lenovo	ThinkPad X		100
lenovo	thinkpad t	Lenovo	ThinkPad T		100
lenovo	thinkpad p	Lenovo	ThinkPad P		100
lenovo	thinkpad l	Lenovo	ThinkPad L		100
lenovo	thinkpad e	Lenovo	ThinkPad E		100
lenovo	thinkpad a	Lenovo	ThinkPad A		100
lenovo	thinkbook	Lenovo	ThinkBook		100
lenovo	thinkbook plus	Lenovo	ThinkBook Plus		100
lenovo	thinkbook 13	Lenovo	ThinkBook 13		100
lenovo	thinkbook 14	Lenovo	ThinkBook 14		100
lenovo	thinkbook 16	Lenovo	ThinkBook 16		100
lenovo	ideapad	Lenovo	IdeaPad		100
lenovo	ideapad slim	Lenovo	IdeaPad Slim		100
lenovo	ideapad pro	Lenovo	IdeaPad Pro		100
lenovo	ideapad flex	Lenovo	IdeaPad Flex		100
lenovo	ideapad gaming	Lenovo	IdeaPad Gaming		100
lenovo	yoga	Lenovo	Yoga		100
lenovo	yoga slim	Lenovo	Yoga Slim		100
lenovo	yoga pro	Lenovo	Yoga Pro		100
lenovo	yoga 2-in-1	Lenovo	Yoga 2-in-1		100
lenovo	yoga aio	Lenovo	Yoga AIO		100
lenovo	yoga mini	Lenovo	Yoga Mini		100
lenovo	legion	Lenovo	Legion		100
lenovo	legion pro	Lenovo	Legion Pro		100
lenovo	legion slim	Lenovo	Legion Slim		100
lenovo	legion go	Lenovo	Legion Go		100
lenovo	loq	Lenovo	LOQ		100
lenovo	loq gaming	Lenovo	LOQ		100
lenovo	thinkcentre	Lenovo	ThinkCentre		100
lenovo	thinkstation	Lenovo	ThinkStation		100
lenovo	thinkvision	Lenovo	ThinkVision		100
lenovo	ideacentre	Lenovo	IdeaCentre		100
lenovo	legion tower	Lenovo	Legion Tower		100
lenovo	loq tower	Lenovo	LOQ Tower		100
lenovo	chromebook duet	Lenovo	Chromebook Duet		100
lenovo	v14 gen 6	Lenovo	V14 Gen 6		200
lenovo	v15 gen 6	Lenovo	V15 Gen 6		200
lenovo	v14 gen 7	Lenovo	V14 Gen 7		200
lenovo	v15 gen 7	Lenovo	V15 Gen 7		200
dell	alienware	Dell	Alienware		200
dell	inspiron	Dell	Inspiron		200
dell	latitude	Dell	Latitude		200
dell	optiplex	Dell	OptiPlex		200
dell	precision	Dell	Precision		200
dell	xps	Dell	XPS		200
dell	vostro	Dell	Vostro		200
dell	ultrasharp	Dell	UltraSharp		200
dell	pro	Dell	Pro		100
dell	pro plus	Dell	Pro Plus		200
dell	pro p	Dell	Pro P		200
dell	pro max	Dell	Pro Max		200
dell	pro premium	Dell	Pro Premium		200
dell	g series	Dell	G Series		200
dell	up series	Dell	UP Series		200
dell	ultrasharp premiercolor	Dell	UltraSharp PremierColor		200
dell	pシリーズ	Dell	P Series		80
dell	sシリーズ	Dell	S Series		80
dell	uシリーズ	Dell	U Series		80
dell	se series	Dell	SE Series		80
dell	in series	Dell	IN Series		80
dell	c series	Dell	C Series		80
dell	d series	Dell	D Series		80
dell	e series	Dell	E Series		80
fujitsu	fmv	Fujitsu	FMV		100
fujitsu	lifebook	Fujitsu	LIFEBOOK		100
fujitsu	esprimo	Fujitsu	ESPRIMO		100
fujitsu	celsius	Fujitsu	CELSIUS		100
fujitsu	arrows	Fujitsu	ARROWS		100
fujitsu	uh	Fujitsu	UH		100
fujitsu	ah	Fujitsu	AH		100
fujitsu	ch	Fujitsu	CH		100
fujitsu	mh	Fujitsu	MH		100
fujitsu	fh	Fujitsu	FH		100
fujitsu	wd	Fujitsu	WD		100
fujitsu	wf	Fujitsu	WF		100
fujitsu	ESPRIMO	Fujitsu	ESPRIMO		200
fujitsu	ESPRIMO	Fujitsu	Esprimo		200
fujitsu	ESPRIMO	Fujitsu	ESPRIMO PC		200
fujitsu	CHROMEOS	Fujitsu	Chromebook		200
fujitsu	CHROMEOS	Fujitsu	FMV Chromebook		200
fujitsu	FMV	Fujitsu	FMV LIFEBOOK		200
fujitsu	FMV	Fujitsu	FMV ESPRIMO		200
fujitsu	FMV	Fujitsu	FMVパソコン		200
fujitsu	LIFEBOOK	Fujitsu	LIFEBOOK UH		200
fujitsu	LIFEBOOK	Fujitsu	LIFEBOOK AH		200
fujitsu	LIFEBOOK	Fujitsu	LIFEBOOK CH		200
fujitsu	ESPRIMO	Fujitsu	ESPRIMO DH		200
fujitsu	ESPRIMO	Fujitsu	ESPRIMO FH		200
fujitsu	LIFEBOOK	Fujitsu	LIFEBOOK UH		200
fujitsu	LIFEBOOK	Fujitsu	LIFEBOOK AH		200
fujitsu	LIFEBOOK	Fujitsu	LIFEBOOK CH		200
fujitsu	LIFEBOOK	Fujitsu	LIFEBOOK WU		200
fujitsu	ESPRIMO	Fujitsu	ESPRIMO FH		200
fujitsu	ESPRIMO	Fujitsu	ESPRIMO DH		200
fujitsu	ESPRIMO	Fujitsu	ESPRIMO D		200
fujitsu	FMV	Fujitsu	FMV Note		200
fujitsu	FMV	Fujitsu	FMV Lite		200
fujitsu	FUJITSU	Fujitsu	FUJITSU		200
fujitsu	FMV	Fujitsu	FMV		200
fujitsu	LIFEBOOK	Fujitsu	LIFEBOOK		200
fujitsu	ESPRIMO	Fujitsu	ESPRIMO		200
dynabook	pz/ma	Dynabook	PZ/MA		300
dynabook	mz/ma	Dynabook	MZ/MA		300
dynabook	xz/hy	Dynabook	XZ/HY		300
dynabook	xz/hw	Dynabook	XZ/HW		300
dynabook	xa/za	Dynabook	XA/ZA		300
